"","x"
"1","GZMB"
"2","CCL4"
"3","TRAC"
"4","CD2"
"5","IL2RB"
"6","CD3D"
"7","IL9"
"8","IFNG"
"9","LTB"
"10","IL2RA"
"11","LCK"
"12","ITK"
"13","TRBC1"
"14","BIRC3"
"15","CCR7"
"16","LTA"
"17","SAMSN1"
"18","CD3E"
"19","CD6"
"20","SELL"
"21","CCND2"
"22","DUSP2"
"23","CD28"
"24","CD247"
"25","EGR2"
"26","SLAMF1"
"27","TNFRSF4"
"28","IL7R"
"29","CTLA4"
"30","CCL5"
"31","ICOS"
"32","CD4"
"33","IL3"
"34","TRAT1"
"35","CCL20"
"36","SH2D1A"
"37","LAT"
"38","PRF1"
"39","CSF2"
"40","CD7"
"41","ETS1"
"42","BCL2A1"
"43","GZMA"
"44","TBX21"
"45","CD3G"
"46","CXCR6"
"47","CD27"
"48","CD69"
"49","SOCS1"
"50","LAG3"
"51","NKG7"
"52","CD5"
"53","GZMH"
"54","DPP4"
"55","CD37"
"56","IL4R"
"57","MYB"
"58","PVRIG"
"59","ZAP70"
"60","IL12RB2"
"61","CD40LG"
"62","CXCL10"
"63","GZMM"
"64","KLRB1"
"65","CD38"
"66","IRF8"
"67","TRDC"
"68","FASLG"
"69","FOXP3"
"70","TNFSF14"
"71","CCR5"
"72","LEF1"
"73","IL18R1"
"74","CD70"
"75","LAMP3"
"76","IL18RAP"
"77","TCF7"
"78","IL21"
"79","NR4A3"
"80","CCR2"
"81","IL17A"
"82","CXCL13"
"83","KLRG1"
"84","IL26"
"85","CXCL9"
"86","MMP9"
"87","CD96"
"88","CSF1"
"89","PDCD1"
"90","FLT3LG"
"91","GNLY"
"92","IL4"
"93","CDC25A"
"94","CPA3"
"95","CXCR5"
"96","IDO1"
"97","IL1B"
"98","CD80"
"99","CD79B"
"100","GZMK"
"101","ZBTB32"
"102","BRAF"
"103","MS4A6A"
"104","LY86"
"105","TXK"
"106","PDK1"
"107","CCL17"
"108","CD40"
"109","PRG2"
"110","FPR1"
"111","CD8A"
"112","IL5"
"113","CD160"
"114","KLRD1"
"115","CCR6"
"116","RSAD2"
"117","NOD2"
"118","IL1A"
"119","TPSAB1"
"120","CD1A"
"121","TNFRSF13B"
"122","PMCH"
"123","FZD3"
"124","MS4A1"
"125","RASGRP2"
"126","EBI3"
"127","C3AR1"
"128","FCGR3B"
"129","TLR2"
"130","FPR3"
"131","CD79A"
"132","IL1RL1"
"133","MS4A2"
"134","CD19"
"135","CD86"
"136","CCL19"
"137","HHEX"
"138","MAP4K2"
"139","CD180"
"140","PNOC"
"141","CCL8"
"142","HDC"
"143","HCK"
"144","LAIR2"
"145","CCL18"
"146","FCRL2"
"147","TNFAIP6"
"148","IL12B"
"149","CCL14"
"150","S100A12"
"151","CXCR1"
"152","CMA1"
"153","GNG7"
"154","SPIB"
"155","CTSG"
"156","BST1"
"157","TREM1"
"158","KLRK1"
"159","CCL13"
"160","FCER1A"
"161","FCN1"
"162","TCL1A"
"163","CD300A"
"164","CCR3"
"165","GPC4"
"166","LY9"
"167","CLEC7A"
"168","CEACAM3"
"169","SIGLEC1"
"170","WNT7A"
"171","CD1B"
"172","CDK6"
"173","TNFRSF10C"
"174","IL5RA"
"175","CD22"
"176","REN"
"177","KLRF1"
"178","CLEC4A"
"179","CEACAM8"
"180","CD1C"
"181","CD1E"
"182","CAMP"
"183","IL7"
"184","CCL22"
"185","CSF3R"
"186","FPR2"
"187","CD244"
"188","CTSW"
"189","CCL7"
"190","CD209"
"191","PPBP"
"192","HSPA6"
"193","LILRA4"
"194","CR2"
"195","SMPD3"
"196","EFNA5"
"197","CD8B"
"198","BLK"
"199","CFP"
