"","x"
"1","UQCR11"
"2","GRB2"
"3","POLR2J"
"4","KLF4"
"5","C1QBP"
"6","B2M"
"7","GPX4"
"8","PSMB8"
"9","SOCS3"
"10","TACSTD2"
"11","NCOR1"
"12","NDUFA12"
"13","HDAC1"
"14","HLA.C"
"15","SDHA"
"16","CD55"
"17","SKP1"
"18","CD40"
"19","EGR1"
"20","PLA1A"
"21","STC1"
"22","LDHA"
"23","HK1"
"24","MCAM"
"25","RBL2"
"26","TXNIP"
"27","COX6B1"
"28","CKLF"
"29","MBNL1"
"30","FOS"
"31","TNFRSF1B"
"32","ISG20"
"33","NOS3"
"34","TGFBR2"
"35","ANP32B"
"36","HSPB1"
"37","UBB"
"38","SERPING1"
"39","HLA.DRA"
"40","IRF3"
"41","CD99"
"42","IFI16"
"43","SELP"
"44","DLL4"
"45","RPLP0"
"46","ANGPTL4"
"47","GUSB"
"48","KRT18"
"49","YTHDF2"
"50","IL4R"
"51","LAMP2"
"52","ADM"
"53","RAC1"
"54","TNFSF10"
"55","SMARCB1"
"56","GPI"
"57","RPS27A"
"58","CD34"
"59","HLA.F"
"60","GLUD1"
"61","MYD88"
"62","SERPINH1"
"63","TPM4"
"64","PPP2R1A"
"65","HSP90B1"
"66","SRSF2"
"67","PSMB10"
"68","A2M"
"69","TSPAN7"
"70","NFE2L2"
"71","NDUFA13"
"72","TNFRSF1A"
"73","IL15RA"
"74","UQCRQ"
"75","GIMAP6"
"76","MYC"
"77","NDUFB7"
"78","CXCL2"
"79","ROBO4"
"80","THBS1"
"81","DAXX"
"82","ELMO1"
"83","MECOM"
"84","CDKN1A"
"85","PYCR2"
"86","PEBP1"
"87","HMGB1"
"88","BID"
"89","IRF1"
"90","TECR"
"91","NDUFB4"
"92","TAPBP"
"93","RASA4"
"94","EFNA1"
"95","GBP2"
"96","RBX1"
"97","TIE1"
"98","CD9"
"99","MCL1"
"100","CD59"
"101","DDIT4"
"102","BST2"
"103","CLU"
"104","SF3B1"
"105","PSMB5"
"106","TNFRSF10B"
"107","COX5B"
"108","HLA.DMA"
"109","JAK1"
