"","x"
"1","AQP9"
"2","BCL2A1"
"3","BIRC3"
"4","BRAF"
"5","BST1"
"6","C3AR1"
"7","C5AR1"
"8","CAMP"
"9","CCL13"
"10","CCL14"
"11","CCL17"
"12","CCL18"
"13","CCL19"
"14","CCL22"
"15","CCL23"
"16","CCL4"
"17","CCL5"
"18","CCL7"
"19","CCL8"
"20","CCND2"
"21","CCR2"
"22","CCR3"
"23","CCR5"
"24","CCR7"
"25","CD160"
"26","CD180"
"27","CD19"
"28","CD1A"
"29","CD1B"
"30","CD1C"
"31","CD1D"
"32","CD1E"
"33","CD2"
"34","CD209"
"35","CD22"
"36","CD244"
"37","CD247"
"38","CD27"
"39","CD28"
"40","CD300A"
"41","CD37"
"42","CD38"
"43","CD3D"
"44","CD3E"
"45","CD3G"
"46","CD4"
"47","CD40"
"48","CD40LG"
"49","CD5"
"50","CD6"
"51","CD69"
"52","CD70"
"53","CD79A"
"54","CD79B"
"55","CD80"
"56","CD86"
"57","CD8A"
"58","CD96"
"59","CEACAM3"
"60","CEACAM8"
"61","CFP"
"62","CLEC4A"
"63","CLEC7A"
"64","CMA1"
"65","CPA3"
"66","CR2"
"67","CREB5"
"68","CSF1"
"69","CSF3R"
"70","CTLA4"
"71","CTSG"
"72","CXCL10"
"73","CXCL11"
"74","CXCL3"
"75","CXCL5"
"76","CXCL9"
"77","CXCR1"
"78","CXCR2"
"79","CXCR6"
"80","DUSP2"
"81","EFNA5"
"82","EGR2"
"83","ELANE"
"84","ETS1"
"85","FAM124B"
"86","FASLG"
"87","FCER1A"
"88","FCGR3B"
"89","FCN1"
"90","FCRL2"
"91","FLT3LG"
"92","FOXP3"
"93","FPR1"
"94","FPR2"
"95","FPR3"
"96","FZD3"
"97","GNG7"
"98","GNLY"
"99","GPC4"
"100","GZMA"
"101","GZMB"
"102","GZMH"
"103","GZMK"
"104","GZMM"
"105","HCK"
"106","HDC"
"107","HHEX"
"108","HSPA6"
"109","IDO1"
"110","IFNG"
"111","IL12B"
"112","IL18R1"
"113","IL18RAP"
"114","IL1A"
"115","IL1B"
"116","IL1RL1"
"117","IL21"
"118","IL2RA"
"119","IL2RB"
"120","IL3"
"121","IL4"
"122","IL4R"
"123","IL5RA"
"124","IL7R"
"125","IRF8"
"126","ITK"
"127","KLRB1"
"128","KLRD1"
"129","KLRF1"
"130","KLRG1"
"131","KLRK1"
"132","LAIR2"
"133","LAMP3"
"134","LAT"
"135","LCK"
"136","LEF1"
"137","LILRA3"
"138","LILRB2"
"139","LTB"
"140","LY86"
"141","LY9"
"142","MEFV"
"143","MMP9"
"144","MS4A1"
"145","MS4A2"
"146","MS4A6A"
"147","MYB"
"148","NLRP3"
"149","NOD2"
"150","NR4A3"
"151","OSM"
"152","P2RY13"
"153","PDCD1"
"154","PDCD1LG2"
"155","PDK1"
"156","PNOC"
"157","PPBP"
"158","PRF1"
"159","PRG2"
"160","PVRIG"
"161","RASGRP2"
"162","RSAD2"
"163","S100A12"
"164","SAMSN1"
"165","SELL"
"166","SIGLEC1"
"167","SLAMF1"
"168","SMPD3"
"169","SPIB"
"170","TBX21"
"171","TCF7"
"172","TCL1A"
"173","TLR2"
"174","TLR7"
"175","TLR8"
"176","TNFAIP6"
"177","TNFRSF10C"
"178","TNFRSF13B"
"179","TNFSF14"
"180","TPSAB1"
"181","TRAC"
"182","TRAT1"
"183","TRBC1"
"184","TRDC"
"185","TREM1"
"186","TXK"
"187","ZAP70"
