,x
1,IVNS1ABP
2,FCGR3B
3,ZDHHC18
4,SLC25A37
5,KATNBL1
6,CXCR2
7,MXD1
8,CXCR1
9,MMP25
10,FFAR2
11,NADK
12,ADGRG3
13,IFITM2
14,CMTM2
15,LITAF
16,USP10
17,TMEM154
18,CYP4F3
19,PROK2
20,R3HDM4
21,PPIF
22,CSF3R
23,AQP9
24,PI3
25,RNF149
26,LCP2
27,RESF1
28,GCA
29,NAMPT
30,FPR1
31,ABTB1
32,ANP32A
33,TNFRSF1B
34,MYO1F
35,DGAT2
36,PHF20L1
37,TNFRSF10C
38,TLR4
39,OSM
40,CSNK1D
41,TDP2
42,ATG2A
43,VNN2
44,MBOAT7
45,MEFV
46,SORL1
47,TNFRSF1A
48,IL17RA
49,TRIM25
50,LIMK2
51,HCAR2
52,TNFAIP6
53,TMEM71
54,SOD2
55,PLEK
56,MGAM
57,C5AR1
58,ATG16L2
59,ACTN1
60,NA
61,CPPED1
62,AMPD2
63,BOD1L1
64,UBE2B
65,MSL1
66,TFE3
67,RILPL2
68,LRG1
69,DOK3
70,C15orf39
71,MX2
72,RTN3
73,PHC2
74,CLEC4E
75,VNN3P
76,MSRB1
77,SLC12A6
78,FPR2
79,IL18RAP
80,NCF2
81,WIPF1
82,PREX1
83,OSBPL2
84,SLA
85,TMEM127
86,NA
87,UBXN2B
88,YPEL3
89,RASSF2
90,USP15
91,FMNL1
92,RIPOR2
93,STAT5B
94,ATP6V1B2
95,FGD3
96,PRKCD
97,NRBF2
98,LCP1
99,APOBEC3A
100,BCL2A1
101,OGFRL1
102,FCAR
103,TRIB1
104,CAMKK2
105,RNF13
106,RUBCNL
107,RGL4
108,NA
109,STAT6
110,XPO6
111,TLR2
112,SELL
113,DDX60L
114,CPD
115,KCNJ15
116,LILRB3
117,PTPRE
118,CEACAM3
119,NSMAF
120,GNAI3
121,CSF2RB
122,ARRB2
123,AP5B1
124,PYGL
125,CDA
126,MAEA
127,CYRIB
128,ZNF267
129,CR1
130,STK40
131,VPS9D1
132,WBP2
133,CASC3
134,HCLS1
135,ACSL1
136,PTGS2
137,ITPRIP
138,HCAR3
139,RFLNB
140,MOB3A
141,ARHGAP9
142,NFAM1
143,BCL6
144,LPAR2
145,S100P
146,JOSD1
147,SLC11A1
148,IL1RN
149,RXRA
150,LBR
151,P2RY13
152,PTAFR
153,ETF1
154,TLE3
155,ITGAX
156,EFHD2
157,TNFSF14
158,ZNF276
159,GMIP
160,IL6R
161,SRGN
162,ADAM8
163,DYSF
164,FYB1
165,VASP
166,RASGRP4
167,FCGR2A
168,CYTH4
169,PXN
170,HAL
171,N4BP1
172,MTF1
173,EHD1
174,PHACTR1
175,ETS2
176,ARHGEF40
177,LILRA2
178,SLC6A6
179,PILRA
180,PPM1F
181,GLT1D1
182,TTPAL
183,SIRPB1
184,MBD6
185,NABP1
186,SDCBP
187,GLUL
188,PLPPR2
189,RNF141
190,NIBAN1
191,FGR
192,IRAG1
193,RNF24
194,TREM1
195,TREML2
196,TOM1
197,ALPL
198,LUCAT1
199,PADI2
200,BCL3
201,MEGF9
202,HCK
203,ANKRD13A
204,LRRC25
205,G0S2
206,PELATON
207,PLAUR
208,CMTM6
209,PGGHG
210,IL1R2
211,MME
212,CDC42EP3
213,CLEC4D
214,ARHGAP25
215,TECPR2
216,ULK1
217,STEAP4
218,MIR3945HG
219,KIF21B
220,EVI2B
221,NBEAL2
222,MAST3
223,IGF2R
224,TNFAIP2
225,LRP10
226,SULT1B1
227,CDKN2D
228,MNDA
229,BRI3
230,APOBR
231,NFKBIZ
232,SLC15A4
233,CASS4
234,SEMA4D
235,SH3BP2
236,BASP1
237,RGS2
238,UBE2D1
239,ARHGAP30
240,NOTCH1
241,SECTM1
242,NLRP12
243,MPP1
244,SIRPA
245,NFE4
246,CXCL1
247,C5AR2
248,FBRS
249,LAMP2
250,MCOLN1
251,NFE2
252,SEC14L1
253,UBN1
254,NINJ1
