,x
1,CTSB
2,PSAP
3,LIPA
4,GRN
5,PLD3
6,ACP5
7,MFSD1
8,HEXB
9,GM2A
10,FTL
11,CTSC
12,CREG1
13,LGALS3
14,VAT1
15,CTSL
16,RMDN3
17,SLCO2B1
18,FKBP15
19,IDH1
20,LAIR1
21,CSTB
22,FCGRT
23,ANXA5
24,CCDC88A
25,TREM2
26,MS4A4A
27,FPR3
28,SAMHD1
29,MSR1
30,TFEC
31,CORO1C
32,SIGLEC1
33,CD163
34,SLC38A6
35,GPNMB
36,FCGR1A
37,GAA
38,VSIG4
39,CD81
40,LILRB4
41,SOAT1
42,HNMT
43,LTA4H
44,NCEH1
45,SLC31A1
46,TGFBI
47,MRC1
48,C1QC
49,SCD
50,DNASE2
51,ABHD12
52,GSTO1
53,ATP6V1F
54,CYP27A1
55,NPC2
56,APOE
57,AP1B1
58,ADAP2
59,NCKAP1L
60,PLA2G7
61,PLA2G15
62,FRMD4A
63,KMO
64,NA
65,FABP3
66,LGMN
67,SLC31A2
68,MARCO
69,ABCG1
70,C1QB
71,LGALS9
72,APIP
73,KCNMA1
74,CYFIP1
75,TMEM51
76,P2RX4
77,COLGALT1
78,LACTB
79,TFRC
80,C1QA
81,PLXDC2
82,NR1H3
83,SLAMF8
84,SLC1A3
85,LILRB5
86,OTOA
87,PTPRO
88,MGST3
89,MRAS
90,APOC1
91,LHFPL2
92,MMP19
93,VAMP8
94,CTSZ
95,FUCA1
96,FLVCR2
97,ACP2
98,OLR1
99,SPRED1
