"","x"
"1","APOL6"
"2","AQP9"
"3","BCL2A1"
"4","BIRC3"
"5","BRAF"
"6","C3AR1"
"7","C5AR1"
"8","CAMP"
"9","CCL13"
"10","CCL14"
"11","CCL18"
"12","CCL19"
"13","CCL20"
"14","CCL22"
"15","CCL23"
"16","CCL4"
"17","CCL5"
"18","CCL7"
"19","CCL8"
"20","CCND2"
"21","CCR2"
"22","CCR5"
"23","CCR7"
"24","CD180"
"25","CD19"
"26","CD1A"
"27","CD1D"
"28","CD2"
"29","CD209"
"30","CD27"
"31","CD300A"
"32","CD33"
"33","CD37"
"34","CD38"
"35","CD3E"
"36","CD4"
"37","CD40"
"38","CD5"
"39","CD6"
"40","CD68"
"41","CD70"
"42","CD79A"
"43","CD80"
"44","CD86"
"45","CEACAM3"
"46","CFP"
"47","CLEC7A"
"48","CPA3"
"49","CSF3R"
"50","CTSG"
"51","CXCL10"
"52","CXCL11"
"53","CXCL13"
"54","CXCL3"
"55","CXCL5"
"56","CXCL9"
"57","CXCR2"
"58","CXCR5"
"59","DPP4"
"60","DUSP2"
"61","EBI3"
"62","ELANE"
"63","ETS1"
"64","FASLG"
"65","FCGR3B"
"66","FCN1"
"67","FOXP3"
"68","FPR1"
"69","FPR2"
"70","FPR3"
"71","FZD2"
"72","GNG7"
"73","GPC4"
"74","GZMA"
"75","GZMB"
"76","GZMK"
"77","HCK"
"78","HDC"
"79","HSPA6"
"80","IDO1"
"81","IFNG"
"82","IL12B"
"83","IL1A"
"84","IL1B"
"85","IL1RL1"
"86","IL2RA"
"87","IL2RB"
"88","IL4R"
"89","IL7"
"90","IL7R"
"91","IRF8"
"92","ITK"
"93","KLRF1"
"94","KLRG1"
"95","LAG3"
"96","LAIR2"
"97","LAMP3"
"98","LAT"
"99","LILRA3"
"100","LILRA4"
"101","LILRB2"
"102","LTA"
"103","LTB"
"104","LY86"
"105","MMP9"
"106","MS4A1"
"107","MS4A6A"
"108","MYB"
"109","NKG7"
"110","NOD2"
"111","NR4A3"
"112","P2RY13"
"113","PDCD1"
"114","PDCD1LG2"
"115","PDK1"
"116","PLA1A"
"117","PPBP"
"118","PRG2"
"119","RASGRP2"
"120","RSAD2"
"121","S100A12"
"122","SAMSN1"
"123","SELL"
"124","SIGLEC1"
"125","SLAMF1"
"126","SOCS1"
"127","SPIB"
"128","TBX21"
"129","TCF7"
"130","TCL1A"
"131","TLR2"
"132","TLR7"
"133","TLR8"
"134","TNFAIP6"
"135","TNFRSF13B"
"136","TNFRSF4"
"137","TPSAB1"
"138","TRAC"
"139","TRBC1"
"140","TREM1"
"141","TREM2"
"142","TXK"
"143","ZBTB32"
