Variable,Count,Percent,HR,Median,95% CI from,95% CI to,P Value,P Adjust (BH),cutpoint
,,,,,,,,,
Granulocytes,16,50,2.95,2.95,1.13,7.70,0.02,0.15,tertile
,16,50,,,,,,,
,,,,,,,,,
Proliferating_Tumour,16,50,2.60,2.60,1.00,6.72,0.04,0.20,tertile
,16,50,,,,,,,
,,,,,,,,,
Tumour,16,50,1.90,1.90,0.74,4.83,0.17,0.40,tertile
,16,50,,,,,,,
,,,,,,,,,
B_Cells,16,50,1.52,1.52,0.58,4.00,0.39,0.56,tertile
,16,50,,,,,,,
,,,,,,,,,
Treg,16,50,1.34,1.34,0.52,3.46,0.55,0.64,tertile
,16,50,,,,,,,
,,,,,,,,,
CD4,16,50,1.10,1.10,0.41,2.95,0.85,0.87,tertile
,16,50,,,,,,,
,,,,,,,,,
CD8_cells,16,50,0.92,0.92,0.35,2.46,0.87,0.87,tertile
,16,50,,,,,,,
,,,,,,,,,
Cytotoxic.CD8,16,50,0.67,0.67,0.24,1.88,0.44,0.56,tertile
,16,50,,,,,,,
,,,,,,,,,
Exhausted.CD8,16,50,0.64,0.64,0.23,1.80,0.40,0.56,tertile
,16,50,,,,,,,
,,,,,,,,,
Vessels,16,50,0.58,0.58,0.21,1.64,0.31,0.54,tertile
,16,50,,,,,,,
,,,,,,,,,
M1_mac,16,50,0.55,0.55,0.18,1.67,0.28,0.54,tertile
,16,50,,,,,,,
,,,,,,,,,
M2_mac,16,50,0.44,0.44,0.14,1.38,0.15,0.40,tertile
,16,50,,,,,,,
,,,,,,,,,
CD4_TFH,16,50,0.33,0.33,0.10,1.15,0.07,0.24,tertile
,16,50,,,,,,,
,,,,,,,,,
DCs,16,50,0.23,0.23,0.07,0.81,0.01,0.15,tertile
,16,50,,,,,,,
